LinkID;LinkIDFrom;LinkIDTo;Qmax_spl;Qkap;Qskut;Vskut;Hskut_h;Hskut_d;Qhmax;Q24
2229682;512144;512143;0.0281;507.9372;143.9916;1.5556;320.4978;319.8567;0.0281;0.0281
2229683;104267;512144;0.0281;619.3635;0.0282;0.0282;320.8825;320.4978;0.0281;0.0281
2229684;512146;62224;0.3331;456.2171;133.2621;2.1072;319.5311;317.4968;0.3289;0.2485
2229685;512147;62228;0.005;115.4747;2.7696;0.073;315.6935;315.6933;0.005;0.0048
2229687;512148;62225;1.1441;322.7629;0.7327;0.0939;317.2047;316.4055;1.1289;0.8536
2229701;128705;511905;0.0139;33.3906;0.3592;0.0089;318.9658;318.9658;0.013;0.0001
2229703;511905;511906;0.0458;0;1.2022;0.0294;318.9658;318.9658;0.0427;0.0002
2234807;517650;517651;0.0808;231.3495;0.0401;0.0401;343.2732;341.644;0.0791;0.0523
2332185;64011;617801;0.038;917.971;97.7234;1.8345;349.4034;348.3416;0.038;0.038
2332187;617801;617802;0.0411;785.6602;139.3261;2.1535;348.3416;347.6143;0.041;0.0398
2332190;617803;64021;0.1469;785.6602;137.5542;1.1738;346.9219;346.2546;0.1439;0.1019
2332721;22049;618357;0.019;40.1607;6.9706;0.3462;394.382;394.3819;0.0184;0.0111
2335300;148403;62757;0.0096;242.9161;73.4638;1.0385;290.7629;290.7769;0.0096;0.0087
2335310;620623;148403;0.0081;176.8126;2.9208;0.9077;290.7635;290.7629;0.0081;0.0081
2337857;53925;622249;1.8352;838.3895;328.8175;1.2841;285.0974;285.0418;1.8151;1.3814
2337859;622249;622250;1.8352;838.2443;324.6814;1.0992;285.0418;285.0236;1.8147;1.3814
2337860;622250;53926;1.8951;452.1129;334.9741;1.8474;285.0236;284.9797;1.8745;1.4269
2338801;769448;53925;1.8099;462.3901;331.1348;1.7076;285.1792;285.0974;1.7902;1.3622
2339414;377764;623518;0.0142;155.0154;105.8183;2.3605;324.3378;323.5551;0.0142;0.0142
2339415;182335;623519;0.5899;145.7741;0.2836;0.2836;326.5898;324.9604;0.5776;0.3857
2248248;61338;532621;0.0054;87.3609;0.0041;0.0041;313.1255;312.7998;0.0053;0.0045
2248250;532621;532622;0.0554;81.1267;0.0355;0.0355;312.7998;312.5693;0.0546;0.0418
2248252;532622;532624;0.0554;34.2401;0.0353;0.0353;312.5693;312.549;0.0547;0.0418
2248256;532625;532626;0.0732;79.1249;0.0462;0.0462;312.3906;312.1705;0.0724;0.0551
2248258;532626;532627;0.0732;54.9934;0.0462;0.0462;312.1705;312.1511;0.0725;0.0551
2248261;532663;227405;1.1612;119.8006;0.7316;0.4691;311.2648;310.8437;1.1438;0.8656
2248262;61361;61362;0.0049;103.8801;0.0049;0.0049;310.5215;310.2682;0.0049;0.0049
2248264;61362;61363;0.0049;103.8801;0.005;0.005;310.2682;309.9091;0.0049;0.0049
2253372;537464;537465;0.0131;259.7796;0.1254;0.1254;304.4868;303.5575;0.0128;0.0124
2253374;537465;537466;0.0131;169.5773;0.104;0.104;303.5575;303.1538;0.0128;0.0124
2253375;537466;63335;0.013;233.8862;0.0992;0.0992;303.1538;302.1807;0.0128;0.0124
2255002;539347;539346;0.0082;131.9387;0.0062;0.0062;365.3416;364.6926;0.008;0.0065
2255003;539346;539345;0.0192;111.7211;0.0122;0.0122;364.6926;364.394;0.0189;0.014
2255004;539345;539344;0.0442;98.4594;0.0255;0.0255;364.394;364.0838;0.0434;0.0311
2255005;539344;539343;0.0449;108.1126;0.0258;0.0258;364.0838;363.7848;0.044;0.0316
2255006;539343;539342;0.061;89.1436;0.0343;0.0343;363.7848;363.6147;0.0598;0.0426
2255007;539342;539341;0.061;94.2336;0.0343;0.0343;363.6147;363.3854;0.0596;0.0426
2255008;539341;539340;0.0681;77.3608;0.038;0.038;363.3854;363.2853;0.0665;0.0475
2255009;539340;539339;0.0763;89.5;0.0425;0.0425;363.2853;362.9963;0.0745;0.0532
2255010;539339;539338;0.1059;86.814;0.0585;0.0585;362.9963;362.7769;0.1036;0.0736
2255011;539338;539337;0.1281;85.9744;0.0706;0.0706;362.7769;362.4973;0.1254;0.089
2255012;539337;539336;0.1469;86.9298;0.0807;0.0807;362.4973;362.3479;0.1437;0.1019
2255013;539336;539335;0.1643;81.8707;0.0902;0.0902;362.3479;362.1774;0.1607;0.114
2273201;1087194;557894;0.2991;1542.7313;70.559;2.0717;330.7219;330.4069;0.2926;0.1936
2273203;60129;557895;0.1047;261.6453;123.5425;1.5272;320.0964;320.0807;0.1031;0.076
2273204;557895;60091;0.1047;376.4206;244.3907;2.4658;320.0807;319.5969;0.1031;0.076
2273841;558252;213132;0.0242;517.1486;0.0241;0.0241;422.1315;419.0631;0.0242;0.0241
2273842;558253;558252;0.0198;358.556;0.017;0.017;424.5715;422.1315;0.0195;0.0179
2273843;558254;558253;0.0198;244.5898;0.0168;0.0168;425.2519;424.5715;0.0195;0.0177
2273844;558255;558254;0.0163;336.0159;0.0154;0.0154;426.6215;425.2519;0.016;0.0156
2273845;558256;462219;0.0173;364.917;14.3133;2.1721;425.4906;419.7687;0.0173;0.0173
2273846;558257;558256;0.0163;363.4818;14.3486;2.4969;426.8607;425.4906;0.0163;0.0163
